date,user,view
2018/4/15,1655,3321
2018/4/16,3035,5692
2018/4/17,3271,6032
2018/4/18,2914,5344
2018/4/19,3116,5756
2018/4/20,2748,5028
2018/4/21,1457,2765
2018/4/22,1590,2909
2018/4/23,3206,5707
2018/4/24,3651,6746
2018/4/25,3078,5928
2018/4/26,3349,6189
2018/4/27,2807,5013
2018/4/28,1278,2240
2018/4/29,1398,2540
2018/4/30,1892,3622
2018/5/1,2562,4785
2018/5/2,2295,4456
2018/5/3,1485,3118
2018/5/4,1438,2659
2018/5/5,1418,2721
2018/5/6,1902,3552
2018/5/7,3696,6779
2018/5/8,3886,7076
2018/5/9,3464,6080
2018/5/10,3719,6509
2018/5/11,3198,5639
2018/5/12,1642,3019
2018/5/13,2031,3823
2018/5/14,3746,6803
2018/5/15,3893,6836
2018/5/16,3653,6313
2018/5/17,3713,6559
2018/5/18,3554,6493
2018/5/19,1872,3405
2018/5/20,2073,3805
2018/5/21,4055,7111
2018/5/22,4176,7431
2018/5/23,4085,7123
2018/5/24,4010,7082
2018/5/25,3767,6531
2018/5/26,1784,3182
2018/5/27,2314,4125
2018/5/28,4525,8114
2018/5/29,4446,7898
2018/5/30,4206,7472
2018/5/31,4021,7310
2018/6/1,3561,6679
2018/6/2,2014,3718
2018/6/3,2618,4795
2018/6/4,4662,8374
2018/6/5,4564,8247
2018/6/6,4347,7564
2018/6/7,4238,7466
2018/6/8,3590,6388
2018/6/9,1805,3137
2018/6/10,2201,3978
2018/6/11,4226,7533
2018/6/12,4362,7965
2018/6/13,4078,7308
2018/6/14,3932,7128
2018/6/15,3722,6715
2018/6/16,2161,3906
2018/6/17,2740,4876
2018/6/18,4059,7371
2018/6/19,4339,7637
2018/6/20,4212,7529
2018/6/21,4377,7547
2018/6/22,3764,6937
2018/6/23,1958,3492
2018/6/24,2292,4385
2018/6/25,4205,7394
2018/6/26,4533,8152
2018/6/27,4197,7512
2018/6/28,4149,7167
2018/6/29,3567,6183
2018/6/30,1802,3178
2018/7/1,2148,3838
2018/7/2,4080,6999
2018/7/3,4134,7288
2018/7/4,4139,7223
2018/7/5,4064,7109
2018/7/6,3667,6494
2018/7/7,1943,3472
2018/7/8,2300,3987
2018/7/9,4531,8078
2018/7/10,4655,8257
2018/7/11,4383,7736
2018/7/12,4488,7773
2018/7/13,3860,6793
2018/7/14,1967,3448
2018/7/15,2206,4060
2018/7/16,3078,5550
2018/7/17,4598,8027
2018/7/18,4588,8278
2018/7/19,4815,8134
2018/7/20,4184,7472
2018/7/21,2610,4618
2018/7/22,3420,6148
2018/7/23,5241,9487
2018/7/24,5359,9372
2018/7/25,5273,9374
2018/7/26,5374,9645
2018/7/27,4515,7793
2018/7/28,2623,4749
2018/7/29,3493,6267
2018/7/30,5805,10461
2018/7/31,5243,9493
2018/8/1,4854,8932
2018/8/2,5102,9469
2018/8/3,3911,7156
2018/8/4,1962,3742
2018/8/5,2397,4490
2018/8/6,3872,7446
2018/8/7,3356,6240
2018/8/8,3056,5870
2018/8/9,2985,5582
2018/8/10,2458,4620
2018/8/11,1379,2565
2018/8/12,1425,2662
2018/8/13,1983,3759
2018/8/14,2269,4468
2018/8/15,2322,4691
2018/8/16,2815,5024
2018/8/17,2469,4804
2018/8/18,1623,3025
2018/8/19,1799,3409
2018/8/20,3097,5765
2018/8/21,2964,5476
2018/8/22,3031,5668
2018/8/23,2902,5460
2018/8/24,2740,5284
2018/8/25,1692,2948
2018/8/26,1844,3260
2018/8/27,3253,5875
2018/8/28,3279,6048
2018/8/29,3199,5749
2018/8/30,3320,6095
2018/8/31,3007,5289
2018/9/1,2072,3626
2018/9/2,1910,3394
2018/9/3,2843,5265
2018/9/4,2908,5382
2018/9/5,3046,5631
2018/9/6,2987,5194
2018/9/7,2862,5131
2018/9/8,1746,3083
2018/9/9,1818,3138
2018/9/10,3098,5611
2018/9/11,3270,5818
2018/9/12,3162,5851
2018/9/13,3147,5745
2018/9/14,2752,4845
2018/9/15,1479,2839
2018/9/16,1475,2886
2018/9/17,2012,3824
2018/9/18,3243,5925
2018/9/19,3254,6199
2018/9/20,3226,5815
2018/9/21,3002,5376
2018/9/22,1595,3029
2018/9/23,1602,2906
2018/9/24,2421,4138
2018/9/25,3519,6279
2018/9/26,3438,6090
2018/9/27,3511,6342
2018/9/28,3209,5751
2018/9/29,1599,2925
2018/9/30,1786,3440
2018/10/1,2812,5294
2018/10/2,3176,5603
2018/10/3,3112,5266
2018/10/4,3047,5317
